id,driverId,stop,lap,time,duration,milliseconds
1,153,1,1,17:05:23,26.898,26898
2,30,1,1,17:05:52,25.021,25021
3,17,1,11,17:20:48,23.426,23426
4,4,1,12,17:22:34,23.251,23251
5,13,1,13,17:24:10,23.842,23842
6,22,1,13,17:24:29,23.643,23643
7,20,1,14,17:25:17,22.603,22603
8,814,1,14,17:26:03,24.863,24863
9,816,1,14,17:26:50,25.259,25259
10,67,1,15,17:27:34,25.342,25342
11,2,1,15,17:27:41,22.994,22994
12,1,1,16,17:28:24,23.227,23227
13,808,1,16,17:28:39,24.535,24535
14,3,1,16,17:29:00,23.716,23716
15,155,1,16,17:29:06,24.064,24064
16,16,1,16,17:29:08,25.978,25978
17,15,1,16,17:29:49,24.899,24899
18,18,1,17,17:30:24,16.867,16867
19,153,2,17,17:31:06,24.463,24463
20,5,1,17,17:31:11,24.865,24865
21,30,2,17,17:32:08,23.988,23988
22,10,1,18,17:33:02,23.792,23792
23,18,2,19,17:33:53,23.303,23303
24,815,1,23,17:40:27,23.438,23438
25,22,2,23,17:40:45,37.856,37856
26,17,2,26,17:44:29,22.52,22520
27,4,2,27,17:46:04,24.733,24733
28,22,3,28,17:49:07,16.892,16892
29,67,2,29,17:49:47,23.1,23100
30,2,2,30,17:51:32,25.098,25098
31,13,2,31,17:52:28,24.5,24500
32,155,2,32,17:54:21,24.192,24192
33,20,2,36,17:59:17,24.036,24036
34,1,2,36,17:59:29,23.199,23199
35,153,3,35,17:59:45,26.348,26348
36,808,2,36,17:59:47,25.683,25683
37,814,2,36,18:00:48,24.332,24332
38,18,3,37,18:01:49,22.681,22681
39,16,2,37,18:02:15,23.871,23871
40,15,2,37,18:03:55,24.848,24848
41,816,2,38,18:06:53,26.446,26446
42,17,3,41,18:07:37,26.23,26230
43,22,4,40,18:08:03,26.309,26309
44,4,3,42,18:09:08,24.181,24181
45,13,3,48,18:18:54,24.095,24095
46,16,1,3,16:09:07,31.694,31694
47,22,1,3,16:10:04,32.978,32978
48,17,1,10,16:21:21,22.572,22572
49,814,1,11,16:23:16,22.773,22773
50,1,1,12,16:24:40,22.552,22552
51,20,1,13,16:26:17,23.019,23019
52,2,1,13,16:26:28,23.9,23900
53,18,1,13,16:26:29,22.4,22400
54,13,1,13,16:26:30,29.224,29224
55,15,1,13,16:27:03,25.516,25516
56,4,1,14,16:28:15,23.152,23152
57,30,1,14,16:28:34,22.576,22576
58,808,1,15,16:30:10,23.182,23182
59,67,1,15,16:30:23,23.28,23280
60,3,1,15,16:30:37,24.967,24967
61,5,1,15,16:30:37,29.084,29084
62,153,1,16,16:32:25,23.584,23584
63,16,2,16,16:32:31,22.046,22046
64,155,1,17,16:33:53,23.28,23280
65,815,1,17,16:34:14,23.597,23597
66,10,1,17,16:34:28,24.617,24617
67,816,1,17,16:34:39,26.252,26252
68,24,1,17,16:34:56,27.815,27815
69,22,2,17,16:35:41,24.502,24502
70,67,2,20,16:39:30,29.843,29843
71,17,2,22,16:42:37,21.991,21991
72,18,2,23,16:44:11,22.471,22471
73,1,2,24,16:45:48,22.611,22611
74,814,2,24,16:46:20,22.419,22419
75,20,2,25,16:47:27,21.893,21893
76,4,2,26,16:49:19,23.894,23894
77,2,2,26,16:49:31,23.221,23221
78,13,2,27,16:51:17,22.541,22541
79,808,2,27,16:51:25,22.68,22680
80,30,2,28,16:53:26,22.261,22261
81,3,2,29,16:55:28,22.577,22577
82,17,3,32,17:00:01,22.069,22069
83,153,2,32,17:00:55,22.888,22888
84,16,3,32,17:00:56,22.55,22550
85,67,3,32,17:01:03,27.439,27439
86,5,2,34,17:04:41,23.336,23336
87,10,2,34,17:05:19,24.429,24429
88,816,2,35,17:07:20,24.416,24416
89,155,2,36,17:07:26,23.442,23442
90,1,3,37,17:08:28,25.382,25382
91,814,3,37,17:09:21,23.977,23977
92,18,3,38,17:10:13,22.483,22483
93,13,3,38,17:10:28,22.893,22893
94,2,3,39,17:12:09,22.602,22602
95,24,2,38,17:13:32,26.554,26554
96,3,3,40,17:15:05,22.526,22526
97,20,3,41,17:15:08,22.313,22313
98,4,3,41,17:15:25,23.812,23812
99,30,3,42,17:18:08,22.227,22227
100,17,4,43,17:19:10,22.161,22161
101,808,3,44,17:21:08,28.694,28694
102,4,4,46,17:24:24,27.182,27182
103,24,3,44,17:25:07,38.823,38823
104,1,4,52,17:34:48,22.466,22466
105,153,1,9,15:19:36,22.419,22419
106,24,1,9,15:20:00,14.16,14160
107,30,1,10,15:21:12,20.522,20522
108,17,1,10,15:21:27,23.442,23442
109,813,1,10,15:21:35,23.16,23160
110,814,1,11,15:22:57,21.989,21989
111,3,1,12,15:24:32,20.771,20771
112,67,1,12,15:24:56,22.01,22010
113,18,1,14,15:27:59,23.779,23779
114,20,1,14,15:28:00,21.995,21995
115,155,1,14,15:28:17,21.855,21855
116,13,1,15,15:29:47,21.624,21624
117,1,1,15,15:29:49,20.878,20878
118,16,1,15,15:30:01,20.989,20989
119,4,1,16,15:31:34,22.524,22524
120,815,1,16,15:31:55,21.473,21473
121,22,1,16,15:32:01,21.709,21709
122,67,2,16,15:32:19,24.722,24722
123,10,1,16,15:32:33,22.683,22683
124,808,1,17,15:33:36,21.981,21981
125,2,1,18,15:35:28,22.216,22216
126,5,1,19,15:37:31,22.485,22485
127,15,1,20,15:39:24,23.029,23029
128,816,1,20,15:39:50,22.901,22901
129,24,2,21,15:42:05,24.467,24467
130,39,1,23,15:45:28,26.049,26049
131,18,2,24,15:45:35,20.758,20758
132,3,2,25,15:47:13,22.005,22005
133,1,2,25,15:47:20,20.533,20533
134,17,2,25,15:47:44,21.132,21132
135,813,2,25,15:48:09,22.062,22062
136,30,2,26,15:49:15,21.964,21964
137,10,2,28,15:54:22,21.908,21908
138,16,2,30,15:56:26,21.058,21058
139,155,2,30,15:56:28,21.936,21936
140,2,2,30,15:56:29,21.821,21821
141,20,2,31,15:57:37,21.533,21533
142,4,2,32,15:59:39,21.251,21251
143,814,2,32,15:59:51,21.218,21218
144,13,2,33,16:01:04,21.168,21168
145,67,3,33,16:02:13,21.928,21928
146,816,2,34,16:05:10,22.802,22802
147,22,2,35,16:05:24,21.481,21481
148,815,2,36,16:06:55,23.397,23397
149,18,3,37,16:08:00,21.237,21237
150,808,2,37,16:08:34,22.005,22005
151,1,3,38,16:09:38,20.567,20567
152,3,3,39,16:11:19,20.72,20720
153,30,3,39,16:11:49,21.4,21400
154,17,3,40,16:13:29,21.091,21091
155,10,3,39,16:14:17,33.827,33827
156,5,2,40,16:14:27,21.89,21890
157,813,3,40,16:14:36,27.62,27620
158,15,2,42,16:18:14,22.26,22260
159,24,3,45,16:25:39,23.499,23499
160,16,3,47,16:26:24,28.708,28708
161,815,3,48,16:28:01,13.9,13900
162,815,4,50,16:31:39,28.845,28845
163,815,1,1,15:05:18,29.27,29270
164,30,1,2,15:06:35,30.182,30182
165,808,1,8,15:16:06,21.422,21422
166,13,1,9,15:17:37,22.022,22022
167,1,1,9,15:17:38,20.833,20833
168,67,1,9,15:17:47,21.769,21769
169,17,1,10,15:19:04,21.05,21050
170,4,1,10,15:19:05,21.308,21308
171,3,1,10,15:19:09,22.573,22573
172,2,1,10,15:19:16,22.3,22300
173,22,1,10,15:19:20,22.717,22717
174,16,1,10,15:19:22,21.649,21649
175,20,1,11,15:20:32,20.623,20623
176,814,1,11,15:21:00,20.775,20775
177,813,1,11,15:21:09,23.881,23881
178,18,1,13,15:23:57,21.368,21368
179,155,1,13,15:24:09,21.82,21820
180,153,1,13,15:24:25,22.713,22713
181,15,1,13,15:24:28,23.066,23066
182,30,2,14,15:26:02,20.907,20907
183,39,1,14,15:26:26,27.353,27353
184,5,1,15,15:27:42,22.854,22854
185,24,1,15,15:28:03,24.634,24634
186,815,2,16,15:29:30,22.895,22895
187,816,1,16,15:29:37,22.779,22779
188,24,2,16,15:30:57,56.611,56611
189,808,2,19,15:33:42,21.323,21323
190,1,2,20,15:35:09,21.075,21075
191,17,2,21,15:36:27,20.421,20421
192,3,2,22,15:38:24,20.927,20927
193,2,2,22,15:38:25,21.919,21919
194,4,2,23,15:39:35,21.732,21732
195,13,2,23,15:39:58,21.322,21322
196,67,2,23,15:40:07,22.128,22128
197,155,2,23,15:40:15,23.455,23455
198,22,2,24,15:41:43,22.868,22868
199,814,2,24,15:41:50,20.93,20930
200,20,2,25,15:42:31,20.112,20112
201,16,2,25,15:43:21,21.084,21084
202,813,2,25,15:43:41,22.555,22555
203,15,2,25,15:43:47,22.862,22862
204,18,2,26,15:44:37,22.639,22639
205,39,2,27,15:47:59,24.962,24962
206,153,2,29,15:49:46,21.826,21826
207,30,3,30,15:51:13,20.379,20379
